	FilamentID	label	filLength[um]	trackLength[um]	expectedReversals	nReversals	maxSpeed[um_sec]	meanSpeed[um_sec]	medianSpeed[um_sec]	meanDwellTime[sec]	meanDwellTime_endA[sec]	meanDwellTime_endB[sec]	sparsityForSplines	splineOrder	speedLimitForDwell[um_sec]	obsDuration[sec]	useForNreversalPlot
0	Olympus_x4_2sec_2024-03-12_1in50dil_131_FILAMENT7_data	10	63.19671306208677	239.8095169714768	23.0	28	0.7197537841201138	0.2071145330628975	0.0881946523585398	198.92857142857142	90.83870967741936	273.13793103448273	100	3	0.15	20000	2
0	2024-03-15_AgarSandwich_Unperturbed_x4_2s_078_FILAMENT_A_data	14	128.91080561057916	525.8659828076719	3.0	4	0.6161308478084223	0.3404440186343572	0.3413785807328026	44.5	45.25	49.0	100	3	0.15	3998.0	1
0	2024-03-15_AgarSandwich_Unperturbed_x4_2s_078_FILAMENT_B_data	14	479.36775697081	1370.3621129233993	1.0	1	0.7395911479412336	0.34227393208245466	0.29520128271993296	58.0	30.0	34.0	100	3	0.15	2486.0	1
0	2024-03-15_AgarSandwich_Unperturbed_x4_2s_078_FILAMENT_C_data	14	251.17746525375773	1766.235652751298	2.0	1	1.0337312101003846	0.6552656144098766	0.678387466243123	37.0	46.0	33.0	100	3	0.15	3998.0	0
0	2024-03-15_AgarSandwich_x4_2s_079_FILAMENT_A_data	15	79.02873729318345	317.7297524263302	5.0	7	0.4642954141772139	0.25942007299810455	0.27520913975844213	66.57142857142857	88.71428571428571	120.0	100	3	0.15	4420.0	1
0	2024-03-15_AgarSandwich_x4_2s_079_FILAMENT_B_data	15	29.566409053673006	83.2702197332797	31.0	34	1.7555680420770572	0.40315328144114787	0.41079725568914993	10.558823529411764	13.466666666666667	8.18918918918919	30	3	0.15	4182.0	1
0	2024-03-15_AgarSandwich_x4_2s_082_FILAMENT_A_data	16	97.17762164218492	495.3669391408552	5.0	29	0.7922012577067092	0.2530742552673189	0.20782047402470322	54.44827586206897	53.354838709677416	48.65217391304348	40	3	0.15	7998.0	1
0	2024-03-15_AgarSandwich_x4_2s_082_FILAMENT_B_data	16	35.90646823080007	146.175371335075	36.0	38	1.1817222377184977	0.49610395144212416	0.5143585645548201	14.552631578947368	15.666666666666666	13.394736842105264	30	3	0.15	7998.0	1
0	2024-03-15_AgarSandwich_x4_2s_083_FILAMENT_A_data	17	49.85907351274189	325.0290069208035	14.0	14	1.2214924285955004	0.4828032099051494	0.4206007774933066	96.07142857142857	95.85714285714286	91.14285714285714	75	3	0.15	7940.0	1
0	2024-03-15_AgarSandwich_x4_2s_083_FILAMENT_B_data	17	29.55082145103721	112.21626346121457	46.0	44	0.7584890450169399	0.37668926332463526	0.40803066174333064	17.795454545454547	17.928571428571427	17.91304347826087	75	3	0.15	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_083_FILAMENT_C_data	17	43.93826815741434	149.15166727172547	26.0	30	0.7059602231096751	0.2704578106606604	0.23374638650694896	59.266666666666666	63.142857142857146	62.86666666666667	40	3	0.15	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_083_FILAMENT_D_data	17	18.02884283376877	47.95206534926643	63.0	56	0.5256020552099165	0.1896351187519117	0.183488376583714	37.982142857142854	31.555555555555557	42.353846153846156	40	3	0.15	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_083_FILAMENT_E_data	17	22.431497711844194	83.0156020140482	43.0	42	0.8194390893749812	0.25958743436204834	0.27535723086112174	32.023809523809526	32.94285714285714	31.612244897959183	40	3	0.15	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_084_FILAMENT_A_data	18	263.83242555929706	2575.834498315138	1.0	9	0.8966042010558173	0.3365737837860394	0.26990420827620776	223.55555555555554	319.1666666666667	316.1666666666667	75	3	0.15	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_084_FILAMENT_B_data	18	73.11255025527538	469.3141023232121	5.0	7	0.46907194281516773	0.197814920644331	0.17470902346248876	55.0	37.125	40.0	110	3	0.025	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_084_FILAMENT_C_data	18	73.6746206256816	138.01367559638848	17.0	25	0.5085357018628498	0.11120009759723225	0.0971112445170709	61.48	26.8	102.375	85	3	0.05	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_084_FILAMENT_D_data	18	46.51890855519376	97.25873981521038	30.0	35	0.37994761498354057	0.15156335191914166	0.15004768718197597	70.37142857142857	49.61538461538461	63.883720930232556	75	3	0.15	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_084_FILAMENT_E_data	18	39.527476671196176	145.38368673180608	8.0	15	0.33209564636865235	0.08542971687201471	0.06337762653635046	13.933333333333334	19.4	24.428571428571427	110	3	0.01	9998.0	1
0	2024-03-15_AgarSandwich_x4_2s_084_FILAMENT_F_data	18	21.91656407725748	83.83696751160338	28.0	28	0.39056567950128096	0.17109254971803714	0.174483921385384	74.64285714285714	62.473684210526315	75.28205128205128	75	3	0.15	9998.0	1
0	2024-03-18_AgarSandwich_x4_2s_086_FILAMENT_A_data	19	224.83550736775925	1687.6851282366238	3.0	5	1.2248961484604912	0.6164051904189451	0.6044291175540752	26.6	74.33333333333333	73.66666666666667	50	3	0.15	7028.0	1
